text,label
"Dear customer, billing issue. Click here to continue.",phishing
reset password. Please click the link below to resolve this.,phishing
password expired - action required.,phishing
"membership renewed successfully. If you have questions, contact support.",safe
learn more about our services,safe
order confirmation: thank you for shopping,safe
"Dear customer, invoice attached. Click here to continue.",phishing
"your order has been shipped. For more details, visit our website.",safe
download attachment,phishing
"meeting scheduled for tomorrow at 3pm. If you have questions, contact support.",safe
"meeting scheduled for tomorrow at 3pm. For more details, visit our website.",safe
"membership renewed successfully. For more details, visit our website.",safe
"your subscription is active. If you have questions, contact support.",safe
download attachment. Immediate action required.,phishing
open attachment immediately to avoid account suspension.,phishing
account suspended. Please click the link below to resolve this.,phishing
"Dear customer, password expired. Click here to continue.",phishing
"your appointment is confirmed. For more details, visit our website.",safe
your appointment is confirmed,safe
"download your purchase receipt. If you have questions, contact support.",safe
billing issue - action required.,phishing
account suspended. Immediate action required.,phishing
thank you for your purchase,safe
here is your invoice,safe
contact our support team for help,safe
"welcome to our website. If you have questions, contact support.",safe
click here immediately to avoid account suspension.,phishing
contact our support team for help,safe
billing issue. Please click the link below to resolve this.,phishing
profile changes saved,safe
here is your invoice,safe
password expired,phishing
"thank you for your purchase. If you have questions, contact support.",safe
invoice attached,phishing
open attachment. Verify now to secure your account.,phishing
"profile changes saved. For more details, visit our website.",safe
your refund has been processed,safe
verify immediately to avoid account suspension.,phishing
download your purchase receipt,safe
"account settings updated successfully. If you have questions, contact support.",safe
welcome to our website,safe
"learn more about our services. If you have questions, contact support.",safe
account suspended - action required.,phishing
"welcome to our website. If you have questions, contact support.",safe
your payment was processed successfully,safe
payment failed - action required.,phishing
password expired — verify your details now.,phishing
contact our support team for help,safe
Notice: invoice attached. Please update your details.,phishing
your appointment is confirmed,safe
open attachment — verify your details now.,phishing
"profile changes saved. For more details, visit our website.",safe
signin. Verify now to secure your account.,phishing
Alert: download attachment. Failure to act will close your account.,phishing
Alert: account suspended. Failure to act will close your account.,phishing
enable macros - action required.,phishing
"your order has been shipped. For more details, visit our website.",safe
order confirmation: thank you for shopping,safe
"we received your feedback. If you have questions, contact support.",safe
here is your invoice,safe
Alert: enable macros. Failure to act will close your account.,phishing
"welcome to our website. If you have questions, contact support.",safe
"order confirmation: thank you for shopping. For more details, visit our website.",safe
"membership renewed successfully. For more details, visit our website.",safe
You have a message: reset password. Open the attachment.,phishing
enable macros. Please click the link below to resolve this.,phishing
subscribe to our newsletter,safe
account settings updated successfully,safe
confirm,phishing
password expired. Verify now to secure your account.,phishing
Important: signin. Follow the link to confirm.,phishing
Notice: confirm. Please update your details.,phishing
"your refund has been processed. For more details, visit our website.",safe
"learn more about our services. For more details, visit our website.",safe
signin. Please click the link below to resolve this.,phishing
Important: click here. Follow the link to confirm.,phishing
billing issue — verify your details now.,phishing
update billing. Verify now to secure your account.,phishing
"your refund has been processed. For more details, visit our website.",safe
click here - action required.,phishing
Important: confirm. Follow the link to confirm.,phishing
"your payment was processed successfully. If you have questions, contact support.",safe
"account settings updated successfully. If you have questions, contact support.",safe
Important: reset password. Follow the link to confirm.,phishing
verify. Verify now to secure your account.,phishing
"subscribe to our newsletter. For more details, visit our website.",safe
"profile changes saved. For more details, visit our website.",safe
enable macros — verify your details now.,phishing
"we received your feedback. For more details, visit our website.",safe
You have a message: verify. Open the attachment.,phishing
You have a message: enable macros. Open the attachment.,phishing
Important: invoice attached. Follow the link to confirm.,phishing
"profile changes saved. If you have questions, contact support.",safe
invoice attached. Please click the link below to resolve this.,phishing
"contact our support team for help. For more details, visit our website.",safe
payment failed — verify your details now.,phishing
"your appointment is confirmed. For more details, visit our website.",safe
Notice: reset password. Please update your details.,phishing
Alert: click here. Failure to act will close your account.,phishing
"subscribe to our newsletter. If you have questions, contact support.",safe
download attachment. Verify now to secure your account.,phishing
verify account immediately to avoid account suspension.,phishing
thank you for your purchase,safe
Important: login. Follow the link to confirm.,phishing
"your order has been shipped. If you have questions, contact support.",safe
payment failed. Please click the link below to resolve this.,phishing
membership renewed successfully,safe
"account settings updated successfully. For more details, visit our website.",safe
password expired immediately to avoid account suspension.,phishing
download attachment — verify your details now.,phishing
Notice: account suspended. Please update your details.,phishing
Alert: open attachment. Failure to act will close your account.,phishing
Notice: download attachment. Please update your details.,phishing
Important: open attachment. Follow the link to confirm.,phishing
your payment was processed successfully,safe
"your appointment is confirmed. If you have questions, contact support.",safe
confirm immediately to avoid account suspension.,phishing
click here. Verify now to secure your account.,phishing
"here is your invoice. If you have questions, contact support.",safe
"your payment was processed successfully. For more details, visit our website.",safe
profile changes saved,safe
You have a message: verify account. Open the attachment.,phishing
"profile changes saved. If you have questions, contact support.",safe
your order has been shipped,safe
account suspended,phishing
You have a message: update billing. Open the attachment.,phishing
invoice attached. Verify now to secure your account.,phishing
"Dear customer, update billing. Click here to continue.",phishing
your appointment is confirmed,safe
"your refund has been processed. If you have questions, contact support.",safe
"your order has been shipped. If you have questions, contact support.",safe
Alert: update billing. Failure to act will close your account.,phishing
"Dear customer, login. Click here to continue.",phishing
we received your feedback,safe
"your payment was processed successfully. For more details, visit our website.",safe
verify. Immediate action required.,phishing
learn more about our services,safe
thank you for your purchase,safe
Notice: verify. Please update your details.,phishing
account settings updated successfully,safe
click here,phishing
Notice: update billing. Please update your details.,phishing
update billing. Immediate action required.,phishing
billing issue. Verify now to secure your account.,phishing
reset password. Immediate action required.,phishing
You have a message: click here. Open the attachment.,phishing
"Dear customer, verify. Click here to continue.",phishing
open attachment. Please click the link below to resolve this.,phishing
reset password - action required.,phishing
"subscribe to our newsletter. For more details, visit our website.",safe
verify,phishing
"account settings updated successfully. If you have questions, contact support.",safe
"download your purchase receipt. For more details, visit our website.",safe
open attachment,phishing
membership renewed successfully,safe
click here — verify your details now.,phishing
"learn more about our services. If you have questions, contact support.",safe
invoice attached immediately to avoid account suspension.,phishing
"membership renewed successfully. If you have questions, contact support.",safe
"learn more about our services. For more details, visit our website.",safe
confirm. Please click the link below to resolve this.,phishing
"subscribe to our newsletter. If you have questions, contact support.",safe
Notice: payment failed. Please update your details.,phishing
meeting scheduled for tomorrow at 3pm,safe
"order confirmation: thank you for shopping. If you have questions, contact support.",safe
"Dear customer, reset password. Click here to continue.",phishing
Alert: signin. Failure to act will close your account.,phishing
"subscribe to our newsletter. For more details, visit our website.",safe
"here is your invoice. For more details, visit our website.",safe
"your order has been shipped. If you have questions, contact support.",safe
"your payment was processed successfully. For more details, visit our website.",safe
membership renewed successfully,safe
Alert: payment failed. Failure to act will close your account.,phishing
invoice attached — verify your details now.,phishing
welcome to our website,safe
welcome to our website,safe
reset password. Verify now to secure your account.,phishing
billing issue immediately to avoid account suspension.,phishing
"Dear customer, download attachment. Click here to continue.",phishing
Notice: unauthorized. Please update your details.,phishing
enable macros,phishing
order confirmation: thank you for shopping,safe
confirm - action required.,phishing
"welcome to our website. If you have questions, contact support.",safe
login. Verify now to secure your account.,phishing
"your payment was processed successfully. If you have questions, contact support.",safe
"your subscription is active. For more details, visit our website.",safe
"your subscription is active. If you have questions, contact support.",safe
verify account. Verify now to secure your account.,phishing
learn more about our services,safe
"learn more about our services. For more details, visit our website.",safe
reset password immediately to avoid account suspension.,phishing
confirm. Verify now to secure your account.,phishing
verify account,phishing
verify account — verify your details now.,phishing
Important: payment failed. Follow the link to confirm.,phishing
payment failed. Immediate action required.,phishing
confirm — verify your details now.,phishing
profile changes saved,safe
your order has been shipped,safe
Important: update billing. Follow the link to confirm.,phishing
"welcome to our website. For more details, visit our website.",safe
Notice: login. Please update your details.,phishing
"meeting scheduled for tomorrow at 3pm. If you have questions, contact support.",safe
"your appointment is confirmed. For more details, visit our website.",safe
login immediately to avoid account suspension.,phishing
unauthorized. Verify now to secure your account.,phishing
Important: download attachment. Follow the link to confirm.,phishing
download your purchase receipt,safe
You have a message: billing issue. Open the attachment.,phishing
update billing - action required.,phishing
"learn more about our services. For more details, visit our website.",safe
"we received your feedback. If you have questions, contact support.",safe
"your subscription is active. For more details, visit our website.",safe
click here. Please click the link below to resolve this.,phishing
Important: password expired. Follow the link to confirm.,phishing
"contact our support team for help. For more details, visit our website.",safe
"here is your invoice. If you have questions, contact support.",safe
your refund has been processed,safe
"your appointment is confirmed. If you have questions, contact support.",safe
"meeting scheduled for tomorrow at 3pm. If you have questions, contact support.",safe
"thank you for your purchase. For more details, visit our website.",safe
"Dear customer, verify account. Click here to continue.",phishing
signin — verify your details now.,phishing
enable macros. Verify now to secure your account,phishing
"profile changes saved. For more details, visit our website.",safe
You have a message: login. Open the attachment.,phishing
"download your purchase receipt. For more details, visit our website.",safe
billing issue. Immediate action required.,phishing
"order confirmation: thank you for shopping. If you have questions, contact support.",safe
unauthorized - action required.,phishing
"meeting scheduled for tomorrow at 3pm. For more details, visit our website.",safe
"your subscription is active. For more details, visit our website.",safe
"membership renewed successfully. If you have questions, contact support.",safe
Important: verify account. Follow the link to confirm,phishing
Alert: login. Failure to act will close your account,phishing
"order confirmation: thank you for shopping. If you have questions, contact support.",safe
download your purchase receipt,safe
"we received your feedback. For more details, visit our website.",safe
"we received your feedback. If you have questions, contact support.",safe
You have a message: account suspended. Open the attachment.,phishing
Alert: billing issue. Failure to act will close your account.,phishing
"subscribe to our newsletter. If you have questions, contact support.",safe
"here is your invoice. If you have questions, contact support.",safe
"your appointment is confirmed. For more details, visit our website.",safe
"Dear customer, unauthorized. Click here to continue.",phishing
download attachment immediately to avoid account suspension,phishing
"Dear customer, signin. Click here to continue.",phishing
password expired. Immediate action required,phishing
"your payment was processed successfully. If you have questions, contact support.",safe
"contact our support team for help. If you have questions, contact support.",safe
password expired. Please click the link below to resolve this,phishing
we received your feedback,safe
"download your purchase receipt. If you have questions, contact support.",safe
"Dear customer, open attachment. Click here to continue.",phishing
"order confirmation: thank you for shopping. For more details, visit our website.",safe
signin immediately to avoid account suspension,phishing
You have a message: invoice attached. Open the attachment,phishing
Alert: verify account. Failure to act will close your account,phishing
your subscription is active,safe
"account settings updated successfully. For more details, visit our website.",safe
invoice attached - action required.,phishing
your payment was processed successfully,safe
verify — verify your details now,phishing
"here is your invoice. For more details, visit our website.",safe
"membership renewed successfully. For more details, visit our website.",safe
account suspended. Verify now to secure your account,phishing
"download your purchase receipt. For more details, visit our website.",safe
your appointment is confirmed,safe
update billing. Please click the link below to resolve this,phishing
"meeting scheduled for tomorrow at 3pm. For more details, visit our website.",safe
unauthorized immediately to avoid account suspension.,phishing
"Dear customer, account suspended. Click here to continue.",phishing
"otice: password expired. Please update your details",phishing
we received your feedback,safe
"learn more about our services. If you have questions, contact support.",safe
account suspended immediately to avoid account suspension,phishing
unauthorized,phishing
"contact our support team for help. For more details, visit our website.",safe
"we received your feedback. For more details, visit our website.",safe
"welcome to our website. For more details, visit our website.",safe
"login — verify your details now.",phishing
your subscription is active,safe
your order has been shipped,safe
"Alert: password expired. Failure to act will close your account",phishing
"update billing — verify your details now",phishing
"account settings updated successfully. For more details, visit our website.",safe
"contact our support team for help. If you have questions, contact support.",safe
"open attachment. Immediate action required.",phishing
enable macros immediately to avoid account suspension.,phishing
"your refund has been processed. If you have questions, contact support.",safe
"profile changes saved. If you have questions, contact support.",safe
your order has been shipped,safe
"click here. Immediate action required",phishing
"You have a message: payment failed. Open the attachment",phishing
"thank you for your purchase. If you have questions, contact support",safe
"welcome to our website. For more details, visit our website",safe
"subscribe to our newsletter. If you have questions, contact support",safe
"our order has been shipped. For more details, visit our website",safe
"Alert: verify. Failure to act will close your account",phishing
billing issue,phishing
"Notice: click here. Please update your details",phishing
"verify account. Immediate action required",phishing
"account settings updated successfully. For more details, visit our website",safe
"Important: unauthorized. Follow the link to confirm",phishing
"download attachment - action required",phishing
"Dear customer, confirm. Click here to continue",phishing
"your appointment is confirmed. If you have questions, contact support",safe
"profile changes saved. If you have questions, contact support",safe
"You have a message: password expired. Open the attachmen",phishing
"your order has been shipped. If you have questions, contact support.",safe
"login. Immediate action required",phishing
meeting scheduled for tomorrow at 3pm,safe
"Important: verify. Follow the link to confirm",phishing
"meeting scheduled for tomorrow at 3pm. For more details, visit our website",safe
"welcome to our website. For more details, visit our website",safe
student login,safe
about college,safe
Admission open apply now,safe
play with your own risk,phishing
play free rummy games,phishing
login using other method,phishing
"This game involves an element of financial risk and may be addictive. Please play responsibly and at your own risk.",phishing
"This game is intended only for users 18 years and above. By registering, you confirm that you are of legal age to participate.",phishing
"Skill-based games are legal in India in most states. However, laws vary from state to state. Please check your local laws before playing.",phishing
"This game is not available in states where online gaming for real money is prohibited, including but not limited to Assam, Odisha, Telangana, Andhra Pradesh, Nagaland, and Sikkim.",phishing
"There is no guarantee of winnings. Past performance does not indicate future results.",phishing
"The user is solely responsible for maintaining the confidentiality of their account and password.",phishing
"Any attempt to manipulate gameplay, use bots, or engage in fraudulent activity will result in immediate account suspension.",phishing
"Withdrawals are subject to KYC verification and applicable taxes as per Indian law.",phishing
"We encourage responsible gaming. If you feel gaming is affecting your daily life, please stop playing and seek help.",phishing
"By continuing to use this app, you agree to our Terms & Conditions, Privacy Policy, and Responsible Gaming Policy.",phishing
"Beware of phishing attempts. We will never ask for your password, OTP, or banking details via calls, messages, or emails.",phishing
"rummy circle",phishing
"casino",phishing 
"bet",phishing
"jackpot",phishing
"win",phishing
"cash games",phishing
"Forgot withdrawable balance in your wallet? ",phishing
"Login using other methods",phishing
